geoAbb,seriesDate,dateLabel,busChar,V_optimistic,S_optimistic,S_pessimistic,V_pessimistic,valNorm_Unknown,V_optimisticStat,S_optimisticStat,S_pessimisticStat,V_pessimisticStat,status_Unknown,pessimistic,optimistic
CA,2023.75,2023 Q4,Institutions gouvernementales,0.392,0.45799999999999996,-0.009000000000000001,-0.012,0.129,E,E,A,A,C,-0.021,0.85
CA,2023.75,2023 Q4,Entreprises,0.18899999999999997,0.455,-0.163,-0.051,0.142,A,A,A,A,A,-0.214,0.644
CA,2023.75,2023 Q4,Organismes communautaires à but non lucratif,0.37,0.496,-0.071,-0.006,0.055999999999999994,B,B,A,A,A,-0.077,0.866
CA,2023.75,2023 Q4,Institutions commerciales à but non lucratif,0.35700000000000004,0.36700000000000005,-0.188,-0.004,0.084,C,C,D,A,B,-0.192,0.7240000000000001
NL,2023.75,2023 Q4,Institutions gouvernementales,0.083,NA,NA,-0,0.027999999999999997,C,NA,NA,A,A,NA,NA
NL,2023.75,2023 Q4,Entreprises,0.21899999999999997,0.483,-0.138,-0.032,0.128,A,B,A,A,A,-0.17,0.702
NL,2023.75,2023 Q4,Organismes communautaires à but non lucratif,0.389,0.423,-0.083,-0.001,0.10400000000000001,D,C,B,A,B,-0.084,0.812
NL,2023.75,2023 Q4,Institutions commerciales à but non lucratif,NA,NA,-0,-0.012,0.012,NA,NA,A,A,A,-0.012,NA
PE,2023.75,2023 Q4,Institutions gouvernementales,0.341,0.659,-0,-0,0,E,E,A,A,A,-0,1
PE,2023.75,2023 Q4,Entreprises,0.225,0.48,-0.13699999999999998,-0.062,0.09699999999999999,A,B,A,A,A,-0.19899999999999998,0.705
PE,2023.75,2023 Q4,Organismes communautaires à but non lucratif,0.35200000000000004,0.545,-0.042,-0.017,0.044000000000000004,C,C,A,A,B,-0.059000000000000004,0.897
PE,2023.75,2023 Q4,Institutions commerciales à but non lucratif,0.359,0.62,-0,-0.011000000000000001,0.01,E,E,A,A,A,-0.011000000000000001,0.979
NS,2023.75,2023 Q4,Institutions gouvernementales,0.353,NA,-0,-0,0.153,E,NA,A,A,E,-0,NA
NS,2023.75,2023 Q4,Entreprises,0.239,0.456,-0.107,-0.051,0.147,A,B,A,A,A,-0.158,0.6950000000000001
NS,2023.75,2023 Q4,Organismes communautaires à but non lucratif,0.382,0.385,-0.17,-0.037000000000000005,0.025,C,C,D,B,A,-0.20700000000000002,0.767
NS,2023.75,2023 Q4,Institutions commerciales à but non lucratif,0.20600000000000002,NA,NA,-0,0.004,E,NA,NA,A,A,NA,NA
NB,2023.75,2023 Q4,Institutions gouvernementales,0.165,NA,-0,-0,NA,E,NA,A,A,NA,-0,NA
NB,2023.75,2023 Q4,Entreprises,0.252,0.49,-0.102,-0.027000000000000003,0.13,A,A,A,A,A,-0.129,0.742
NB,2023.75,2023 Q4,Organismes communautaires à but non lucratif,0.375,0.519,-0.027999999999999997,-0.002,0.076,C,C,A,A,C,-0.03,0.894
NB,2023.75,2023 Q4,Institutions commerciales à but non lucratif,0.292,0.165,-0.11800000000000001,-0,NA,E,D,D,A,NA,-0.11800000000000001,0.45699999999999996
QC,2023.75,2023 Q4,Institutions gouvernementales,NA,NA,-0.001,-0.005,0.038,NA,NA,A,A,B,-0.006,NA
QC,2023.75,2023 Q4,Entreprises,0.24100000000000002,0.47200000000000003,-0.13699999999999998,-0.047,0.10300000000000001,A,A,A,A,A,-0.184,0.7130000000000001
QC,2023.75,2023 Q4,Organismes communautaires à but non lucratif,0.237,0.6579999999999999,-0.048,-0.002,0.055999999999999994,B,C,A,A,B,-0.05,0.8949999999999999
QC,2023.75,2023 Q4,Institutions commerciales à but non lucratif,0.247,0.43,NA,-0.006,0.016,E,E,NA,A,A,NA,0.677
ON,2023.75,2023 Q4,Institutions gouvernementales,NA,NA,-0,-0.028999999999999998,0.08800000000000001,NA,NA,A,B,D,-0.028999999999999998,NA
ON,2023.75,2023 Q4,Entreprises,0.17600000000000002,0.424,-0.163,-0.063,0.17300000000000001,A,B,A,A,A,-0.226,0.6
ON,2023.75,2023 Q4,Organismes communautaires à but non lucratif,0.47600000000000003,0.40299999999999997,-0.084,-0.002,0.036000000000000004,C,C,B,A,A,-0.08600000000000001,0.879
ON,2023.75,2023 Q4,Institutions commerciales à but non lucratif,0.374,0.364,-0.242,-0.003,0.016,E,E,E,A,A,-0.245,0.738
MB,2023.75,2023 Q4,Institutions gouvernementales,NA,NA,-0,-0,0,NA,NA,A,A,A,-0,NA
MB,2023.75,2023 Q4,Entreprises,0.201,0.466,-0.16399999999999998,-0.042,0.127,A,A,A,A,A,-0.206,0.667
MB,2023.75,2023 Q4,Organismes communautaires à but non lucratif,0.27,0.584,-0.067,-0.038,0.040999999999999995,C,C,B,A,A,-0.10500000000000001,0.854
MB,2023.75,2023 Q4,Institutions commerciales à but non lucratif,0.29100000000000004,0.434,-0.023,-0,NA,E,E,A,A,NA,-0.023,0.7250000000000001
SK,2023.75,2023 Q4,Institutions gouvernementales,0.846,0.037000000000000005,-0.105,-0,0.011000000000000001,E,B,E,A,A,-0.105,0.883
SK,2023.75,2023 Q4,Entreprises,0.193,0.484,-0.13,-0.075,0.11800000000000001,A,B,A,A,A,-0.20500000000000002,0.677
SK,2023.75,2023 Q4,Organismes communautaires à but non lucratif,0.35700000000000004,0.494,-0.083,-0.002,0.064,C,C,B,A,B,-0.085,0.851
SK,2023.75,2023 Q4,Institutions commerciales à but non lucratif,NA,0.294,-0.212,-0.011000000000000001,0.003,NA,E,E,A,A,-0.223,NA
AB,2023.75,2023 Q4,Institutions gouvernementales,NA,NA,-0.032,-0,NA,NA,NA,B,A,NA,-0.032,NA
AB,2023.75,2023 Q4,Entreprises,0.187,0.45,-0.184,-0.043,0.13699999999999998,A,A,A,A,A,-0.22699999999999998,0.637
AB,2023.75,2023 Q4,Organismes communautaires à but non lucratif,0.552,0.33,-0.06,-0.003,0.055999999999999994,D,D,B,A,B,-0.063,0.8820000000000001
AB,2023.75,2023 Q4,Institutions commerciales à but non lucratif,0.515,0.433,-0.027000000000000003,-0.003,0.022000000000000002,E,E,A,A,A,-0.030000000000000002,0.948
BC,2023.75,2023 Q4,Institutions gouvernementales,0.038,NA,-0,-0,NA,B,NA,A,A,NA,-0,NA
BC,2023.75,2023 Q4,Entreprises,0.131,0.498,-0.203,-0.038,0.13,A,B,A,A,A,-0.24100000000000002,0.629
BC,2023.75,2023 Q4,Organismes communautaires à but non lucratif,0.268,0.5429999999999999,-0.086,-0.003,0.1,C,C,B,A,C,-0.089,0.8109999999999999
BC,2023.75,2023 Q4,Institutions commerciales à but non lucratif,NA,0.20199999999999999,-0.019,-0,NA,NA,D,A,A,NA,-0.019,NA
YT,2023.75,2023 Q4,Institutions gouvernementales,0.746,0.193,-0.061,-0,0,E,E,B,A,A,-0.061,0.9390000000000001
YT,2023.75,2023 Q4,Entreprises,0.235,0.397,-0.161,-0.037000000000000005,0.171,B,C,B,A,C,-0.198,0.632
YT,2023.75,2023 Q4,Organismes communautaires à but non lucratif,0.315,0.431,-0,-0,NA,E,E,A,A,NA,-0,0.746
YT,2023.75,2023 Q4,Institutions commerciales à but non lucratif,NA,NA,-0,-0,0,NA,NA,A,A,A,-0,NA
NT,2023.75,2023 Q4,Institutions gouvernementales,0.038,NA,-0,-0,NA,B,NA,A,A,NA,-0,NA
NT,2023.75,2023 Q4,Entreprises,0.21100000000000002,0.539,-0.04,-0.065,0.14400000000000002,B,C,A,B,B,-0.10500000000000001,0.75
NT,2023.75,2023 Q4,Organismes communautaires à but non lucratif,0.43799999999999994,0.36200000000000004,-0.044000000000000004,-0.069,0.087,E,D,A,B,B,-0.11300000000000002,0.8
NT,2023.75,2023 Q4,Institutions commerciales à but non lucratif,NA,0.268,-0,-0,0.094,NA,E,A,A,C,-0,NA
NU,2023.75,2023 Q4,Institutions gouvernementales,NA,NA,-0,-0,0.10099999999999999,NA,NA,A,A,C,-0,NA
NU,2023.75,2023 Q4,Entreprises,0.244,0.631,-0.07400000000000001,-0,0.051,C,C,A,A,A,-0.07400000000000001,0.875
NU,2023.75,2023 Q4,Organismes communautaires à but non lucratif,0.29,0.616,-0.027000000000000003,-0,0.068,D,D,A,A,B,-0.027000000000000003,0.9059999999999999
NU,2023.75,2023 Q4,Institutions commerciales à but non lucratif,0.40700000000000003,0.512,-0,-0,0.08199999999999999,E,E,A,A,C,-0,0.919
