geoAbb,seriesDate,dateLabel,item2,GovAgency,Business,CommNPO,BusNPO,GovAgencyStat,BusinessStat,CommNPOStat,BusNPOStat
CA,2022.5,2022 Q3,Taux d'intérêt,0.215,0.387,0.148,0.158,D,A,A,B
NL,2022.5,2022 Q3,Taux d'intérêt,0.077,0.344,0.1,0.19,B,B,B,D
PE,2022.5,2022 Q3,Taux d'intérêt,0.054,0.347,0.106,0.073,B,B,B,B
NS,2022.5,2022 Q3,Taux d'intérêt,NA,0.389,0.153,0.088,NA,B,B,C
NB,2022.5,2022 Q3,Taux d'intérêt,NA,0.326,0.112,0.047,NA,A,B,A
QC,2022.5,2022 Q3,Taux d'intérêt,NA,0.312,0.123,0.122,NA,A,C,B
ON,2022.5,2022 Q3,Taux d'intérêt,NA,0.393,0.208,0.231,NA,A,C,E
MB,2022.5,2022 Q3,Taux d'intérêt,0.038,0.378,0.076,0.128,A,A,B,C
SK,2022.5,2022 Q3,Taux d'intérêt,0,0.472,0.084,0.136,A,B,B,D
AB,2022.5,2022 Q3,Taux d'intérêt,0.007,0.453,0.093,0.222,A,A,B,D
BC,2022.5,2022 Q3,Taux d'intérêt,0.809,0.408,0.163,0.096,E,A,B,B
YT,2022.5,2022 Q3,Taux d'intérêt,NA,0.344,0.011,NA,NA,C,A,NA
NT,2022.5,2022 Q3,Taux d'intérêt,0.224,0.348,0.067,0.178,E,C,B,D
NU,2022.5,2022 Q3,Taux d'intérêt,0,0.206,0.117,0.406,A,B,C,E
CA,2022.5,2022 Q3,Inflation,0.387,0.608,0.516,0.456,D,A,B,C
NL,2022.5,2022 Q3,Inflation,0.1,0.539,0.458,0.391,B,B,D,E
PE,2022.5,2022 Q3,Inflation,0.532,0.55,0.506,0.237,E,B,C,D
NS,2022.5,2022 Q3,Inflation,0.199,0.549,0.439,0.332,D,A,C,E
NB,2022.5,2022 Q3,Inflation,NA,0.569,0.486,0.388,NA,A,C,E
QC,2022.5,2022 Q3,Inflation,NA,0.527,0.492,0.311,NA,A,C,D
ON,2022.5,2022 Q3,Inflation,NA,0.614,0.533,0.569,NA,A,C,E
MB,2022.5,2022 Q3,Inflation,NA,0.604,0.472,0.693,NA,B,C,D
SK,2022.5,2022 Q3,Inflation,0.727,0.677,0.454,0.532,E,A,C,E
AB,2022.5,2022 Q3,Inflation,NA,0.697,0.581,0.721,NA,A,C,E
BC,2022.5,2022 Q3,Inflation,0.919,0.632,0.524,0.338,C,A,C,E
YT,2022.5,2022 Q3,Inflation,NA,0.65,0.438,NA,NA,C,D,NA
NT,2022.5,2022 Q3,Inflation,0.594,0.552,0.593,0.262,E,C,E,D
NU,2022.5,2022 Q3,Inflation,0.166,0.499,0.378,0.52,D,B,D,E
CA,2022.75,2022 Q4,Taux d'intérêt,0.152,0.416,0.106,0.298,B,A,A,C
NL,2022.75,2022 Q4,Taux d'intérêt,NA,0.388,0.069,0.207,NA,A,A,E
PE,2022.75,2022 Q4,Taux d'intérêt,0.119,0.442,0.177,0.388,D,B,C,E
NS,2022.75,2022 Q4,Taux d'intérêt,0.029,0.43,0.081,NA,A,B,A,NA
NB,2022.75,2022 Q4,Taux d'intérêt,0.028,0.411,0.119,0.101,B,B,B,C
QC,2022.75,2022 Q4,Taux d'intérêt,0.139,0.334,0.07,NA,D,A,A,NA
ON,2022.75,2022 Q4,Taux d'intérêt,0.145,0.426,0.115,NA,D,A,B,NA
MB,2022.75,2022 Q4,Taux d'intérêt,NA,0.447,0.096,0.084,NA,A,B,C
SK,2022.75,2022 Q4,Taux d'intérêt,0.18,0.487,0.101,NA,E,B,B,NA
AB,2022.75,2022 Q4,Taux d'intérêt,0.022,0.454,0.143,NA,A,A,B,NA
BC,2022.75,2022 Q4,Taux d'intérêt,0.22,0.443,0.124,NA,E,B,B,NA
YT,2022.75,2022 Q4,Taux d'intérêt,0,0.389,0.084,0.201,A,C,C,E
NT,2022.75,2022 Q4,Taux d'intérêt,NA,0.359,0.222,0.183,NA,B,D,D
NU,2022.75,2022 Q4,Taux d'intérêt,0,0.492,0.299,0.044,A,B,E,A
