geoAbb,item2,GovAgency,Business,CommNPO,BusNPO,GovAgencyStat,BusinessStat,CommNPOStat,BusNPOStat
NL,Inflation,0.871,0.486,0.653,0.083,C,B,C,B
BC,Inflation,NA,0.598,0.653,0.723,NA,A,D,E
SK,Inflation,0.031,0.625,0.613,NA,B,B,C,NA
NT,Inflation,0.16,0.477,0.58,NA,D,C,D,NA
NS,Inflation,NA,0.562,0.551,0.741,NA,A,C,E
CA,Inflation,0.46,0.574,0.524,0.434,E,A,B,C
MB,Inflation,0.945,0.608,0.519,0.599,B,A,C,E
AB,Inflation,0.168,0.633,0.513,0.474,E,A,E,E
ON,Inflation,NA,0.571,0.503,0.464,NA,A,C,E
NB,Inflation,NA,0.555,0.493,0.193,NA,A,D,E
PE,Inflation,0.243,0.502,0.491,0.408,D,B,D,E
QC,Inflation,NA,0.521,0.467,0.22,NA,A,C,D
NU,Inflation,NA,0.527,0.411,0.384,NA,C,E,E
YT,Inflation,0.06,0.528,0.377,NA,B,C,E,NA
NL,Taux d'intérêt,NA,0.37,0.214,0.048,NA,B,C,A
SK,Taux d'intérêt,0,0.506,0.201,0.209,A,B,B,E
ON,Taux d'intérêt,NA,0.45,0.187,0.148,NA,A,C,C
NU,Taux d'intérêt,NA,0.339,0.181,0,NA,B,D,A
QC,Taux d'intérêt,0.041,0.401,0.167,0.055,B,A,C,A
CA,Taux d'intérêt,0.324,0.447,0.16,0.09,E,A,A,A
BC,Taux d'intérêt,NA,0.485,0.153,0.03,NA,B,C,A
NS,Taux d'intérêt,NA,0.43,0.138,0.141,NA,B,C,D
AB,Taux d'intérêt,0.125,0.462,0.124,0.072,E,A,B,B
YT,Taux d'intérêt,0,0.353,0.122,0,A,C,D,A
MB,Taux d'intérêt,NA,0.445,0.118,0.177,NA,A,B,E
PE,Taux d'intérêt,0.339,0.425,0.106,0.197,E,B,B,E
NB,Taux d'intérêt,0,0.474,0.086,0.024,A,A,B,A
NT,Taux d'intérêt,NA,0.293,0.086,0.027,NA,C,B,A
