geoAbb,seriesDate,dateLabel,item2,GovAgency,Business,CommNPO,BusNPO,GovAgencyStat,BusinessStat,CommNPOStat,BusNPOStat
CA,2021.25,2021 Q2,A suffisamment de liquidités,0.553,0.747,0.83,0.857,D,A,B,B
CA,2021.25,2021 Q2,Pourra avoir accès à suffisamment de liquidités,0.031,0.025,0.036,0,B,A,A,A
CA,2021.25,2021 Q2,Ne pourra pas avoir accès à suffisamment de liquidités,0.033,0.017,0.004,0,B,A,A,A
CA,2021.25,2021 Q2,Incertain s'il (si elle) pourra avoir accès à suffisamment de liquidités,0.006,0.048,0.02,0.031,A,A,A,A
CA,2021.25,2021 Q2,Statut des liquidités inconnu,0.376,0.163,0.11,0.111,D,A,A,B
NL,2021.25,2021 Q2,A suffisamment de liquidités,0.819,0.769,0.901,0,D,A,B,NA
NL,2021.25,2021 Q2,Pourra avoir accès à suffisamment de liquidités,0,0.012,0,0,A,A,A,A
NL,2021.25,2021 Q2,Ne pourra pas avoir accès à suffisamment de liquidités,0,0.003,0.012,0,A,A,A,A
NL,2021.25,2021 Q2,Incertain s'il (si elle) pourra avoir accès à suffisamment de liquidités,0,0.029,0.016,0,A,A,A,NA
NL,2021.25,2021 Q2,Statut des liquidités inconnu,0.181,0.187,0.071,0.212,D,A,B,E
PE,2021.25,2021 Q2,A suffisamment de liquidités,1,0.768,0.915,0.752,A,A,B,E
PE,2021.25,2021 Q2,Pourra avoir accès à suffisamment de liquidités,0,0.025,0.007,0,A,A,A,A
PE,2021.25,2021 Q2,Ne pourra pas avoir accès à suffisamment de liquidités,0,0.006,0,0,A,A,A,A
PE,2021.25,2021 Q2,Incertain s'il (si elle) pourra avoir accès à suffisamment de liquidités,0,0.032,0.026,0.087,A,A,A,D
PE,2021.25,2021 Q2,Statut des liquidités inconnu,0,0.17,0.052,0.161,A,A,B,E
NS,2021.25,2021 Q2,A suffisamment de liquidités,0,0.804,0.872,0,NA,A,B,NA
NS,2021.25,2021 Q2,Pourra avoir accès à suffisamment de liquidités,0,0.014,0.003,0,A,A,A,A
NS,2021.25,2021 Q2,Ne pourra pas avoir accès à suffisamment de liquidités,0.14,0.006,0,0,E,A,A,A
NS,2021.25,2021 Q2,Incertain s'il (si elle) pourra avoir accès à suffisamment de liquidités,0,0.027,0.045,0,A,A,B,A
NS,2021.25,2021 Q2,Statut des liquidités inconnu,0.195,0.149,0.08,0,E,A,B,NA
NB,2021.25,2021 Q2,A suffisamment de liquidités,0,0.747,0.85,0.925,NA,A,C,C
NB,2021.25,2021 Q2,Pourra avoir accès à suffisamment de liquidités,0,0.026,0.004,0,A,A,A,A
NB,2021.25,2021 Q2,Ne pourra pas avoir accès à suffisamment de liquidités,0,0.013,0,0,A,A,A,A
