geoAbb,seriesDate,dateLabel,busChar,item2,valIncrease,valSame,valDecrease,valNA,statusIncrease,statusSame,statusDecrease,statusNA
CA,2022,2022 Q1,Institutions gouvernementales,Nombre d'employés,0.11599999999999999,0.836,0.048,0,B,B,B,A
CA,2022,2022 Q1,Institutions gouvernementales,Postes vacants,0.125,0.5920000000000001,0.051,0.231,C,D,B,C
CA,2022,2022 Q1,Institutions gouvernementales,Ventes,0.033,0.451,0.025,0.491,A,D,A,D
CA,2022,2022 Q1,Institutions gouvernementales,Prix de vente,0.065,0.451,0.017,0.467,B,D,A,D
CA,2022,2022 Q1,Institutions gouvernementales,Demande,0.252,0.7340000000000001,0.013999999999999999,0,C,C,A,A
CA,2022,2022 Q1,Institutions gouvernementales,Importations,0.011000000000000001,0.073,0.001,0.915,A,B,A,B
CA,2022,2022 Q1,Institutions gouvernementales,Exportations,0,0.073,0.016,0.9109999999999999,A,B,A,B
CA,2022,2022 Q1,Institutions gouvernementales,Résultat opérationnel,0.061,0.794,0.14400000000000002,0,A,C,C,A
CA,2022,2022 Q1,Institutions gouvernementales,Dépenses opérationnelles,0.187,0.787,0.026000000000000002,0,B,C,A,A
CA,2022,2022 Q1,Institutions gouvernementales,Rentabilité,0.034,0.45899999999999996,0.121,0.386,A,D,C,D
CA,2022,2022 Q1,Institutions gouvernementales,Réserves de trésorerie,0.11800000000000001,0.44299999999999995,0.147,0.29100000000000004,D,D,C,C
CA,2022,2022 Q1,Institutions gouvernementales,Dépenses en capital,0.265,0.521,0.021,0.193,D,D,A,C
CA,2022,2022 Q1,Institutions gouvernementales,Dépenses liées à la formation,0.102,0.6890000000000001,0.043,0.166,B,C,A,C
CA,2022,2022 Q1,Institutions gouvernementales,Budget de marketing,0.048,0.595,0.034,0.32299999999999995,A,D,A,C
CA,2022,2022 Q1,Institutions gouvernementales,Dépenses liées à la recherche et au développement,0.006,0.389,0.005,0.6,A,D,A,D
CA,2022,2022 Q1,Entreprises,Nombre d'employés,0.142,0.773,0.085,0,A,A,A,A
CA,2022,2022 Q1,Entreprises,Postes vacants,0.094,0.494,0.064,0.348,A,A,A,A
CA,2022,2022 Q1,Entreprises,Ventes,0.207,0.614,0.179,0,A,A,A,A
CA,2022,2022 Q1,Entreprises,Prix de vente,0.377,0.569,0.053,0,A,A,A,A
CA,2022,2022 Q1,Entreprises,Demande,0.257,0.602,0.141,0,A,A,A,A
CA,2022,2022 Q1,Entreprises,Importations,0.027000000000000003,0.158,0.023,0.792,A,A,A,A
CA,2022,2022 Q1,Entreprises,Exportations,0.019,0.107,0.013000000000000001,0.861,A,A,A,A
CA,2022,2022 Q1,Entreprises,Résultat opérationnel,0.221,0.5479999999999999,0.231,0,A,A,A,A
CA,2022,2022 Q1,Entreprises,Dépenses opérationnelles,0.517,0.434,0.05,0,A,A,A,A
CA,2022,2022 Q1,Entreprises,Rentabilité,0.136,0.504,0.36,0,A,A,A,A
CA,2022,2022 Q1,Entreprises,Réserves de trésorerie,0.09,0.505,0.312,0.092,A,A,A,A
CA,2022,2022 Q1,Entreprises,Dépenses en capital,0.203,0.561,0.08199999999999999,0.154,A,A,A,A
CA,2022,2022 Q1,Entreprises,Dépenses liées à la formation,0.172,0.499,0.049,0.28,A,A,A,A
CA,2022,2022 Q1,Entreprises,Budget de marketing,0.155,0.516,0.096,0.233,A,A,A,A
CA,2022,2022 Q1,Entreprises,Dépenses liées à la recherche et au développement,0.073,0.284,0.040999999999999995,0.603,A,A,A,A
