,Unnamed: 0,Unnamed: 0.1,Group,Attribute,Year,QuestionNo.,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
0,0,1,Arts et culture,Ne pas soutenir la cause,2018,rg_010,0.697789837225305,0.011657507769088998,0.6818465289133749,0.713733145537235,9592,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
1,1,2,Arts et culture,Soutenir la cause,2018,rg_010,0.7324622918152809,0.0441049442639961,0.6691452465324821,0.7957793370980799,619,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
2,2,3,Sport et loisir,Ne pas soutenir la cause,2018,rg_010,0.681929210602594,0.0129991166468838,0.6645551542478829,0.6993032669573038,8027,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
3,3,4,Sport et loisir,Soutenir la cause,2018,rg_010,0.7833134122166521,0.0181936874235544,0.7553812611078821,0.811245563325423,2184,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
4,4,5,Éducation et recherche,Ne pas soutenir la cause,2018,rg_010,0.6774277127022691,0.0128842963165866,0.660320795459958,0.694534629944581,8204,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
5,5,6,Éducation et recherche,Soutenir la cause,2018,rg_010,0.8010060117975241,0.0177088660724363,0.7732041026286851,0.8288079209663629,2007,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
6,6,7,Universités et collèges,Ne pas soutenir la cause,2018,rg_010,0.699092772213767,0.0113413304247832,0.683552919198042,0.714632625229492,9868,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
7,7,8,Universités et collèges,Soutenir la cause,2018,rg_010,0.7122959235744009,0.053832880877619005,0.6371412190424561,0.7874506281063449,343,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
8,8,9,Santé,Ne pas soutenir la cause,2018,rg_010,0.5748297185923289,0.0213782689009902,0.550743987160588,0.5989154500240699,4310,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
9,9,10,Santé,Soutenir la cause,2018,rg_010,0.816075737827356,0.0106322583921306,0.799069663223937,0.8330818124307751,5901,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
10,10,11,Hôpitaux,Ne pas soutenir la cause,2018,rg_010,0.683210954745123,0.0132385351075158,0.665483644562538,0.7009382649277089,7509,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
11,11,12,Hôpitaux,Soutenir la cause,2018,rg_010,0.746350027328527,0.0194013021285766,0.7179694305854459,0.7747306240716079,2702,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
12,12,13,Services sociaux,Ne pas soutenir la cause,2018,rg_010,0.67867893614187,0.0158157213208418,0.657641080760626,0.699716791523113,4772,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
13,13,14,Services sociaux,Soutenir la cause,2018,rg_010,0.7215562768511291,0.0144572602447069,0.701110467878319,0.7420020858239391,5439,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
14,14,15,Environnement,Ne pas soutenir la cause,2018,rg_010,0.687724234752296,0.0124180715530165,0.670985733170283,0.7044627363343079,8791,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
15,15,16,Environnement,Soutenir la cause,2018,rg_010,0.789415515719241,0.0208944223870498,0.757087122572283,0.8217439088661991,1420,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
16,16,17,Aménagement et logement,Ne pas soutenir la cause,2018,rg_010,0.6958466292565612,0.0114826753868125,0.680186162339592,0.711507096173529,9770,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
17,17,18,Aménagement et logement,Soutenir la cause,2018,rg_010,0.8059104574337042,0.0374920768443075,0.746689642322594,0.8651312725448149,441,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
18,18,19,"Droit, plaidoyer et politique",Ne pas soutenir la cause,2018,rg_010,0.6954194065714989,0.0117424720093073,0.6794144525555551,0.711424360587443,9537,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
19,19,20,"Droit, plaidoyer et politique",Soutenir la cause,2018,rg_010,0.779220039057665,0.0322106650257929,0.730026519524177,0.8284135585911541,674,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
20,20,21,"Subventions, collecte de fonds",Ne pas soutenir la cause,2018,rg_010,0.6912936424741191,0.0126977213673453,0.6740893646644691,0.7084979202837691,8402,Touché.e personnellement par la cause,Motivations for Giving by Cause Support,CA,
