Group,Attribute,Year,QuestionNo,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Province,Region,Marker
Catégorie de revenu personnel,100 000 $ à 119 999 $,2013,incg1_6 / vd1dhrs,0.030231,37.9701,0.007678,0.052784,18,Percentage of donations,Percentage of total donations,NL,10,...
Catégorie de revenu familial,100 000 $ à 119 999 $,2013,hhincg1_6 / vd1dhrs,0.101029,29.25581,0.042958,0.159099,43,Percentage of donations,Percentage of total donations,NL,10,*
Catégorie de revenu personnel,120 000 $ et plus,2013,incg1_7 / vd1dhrs,0.021696,38.82623,0.005146,0.038247,22,Percentage of donations,Percentage of total donations,NL,10,...
Catégorie de revenu familial,120 000 $ à 139 999 $,2013,hhincg1_7 / vd1dhrs,0.080092,34.68495,0.025512,0.134672,25,Percentage of donations,Percentage of total donations,NL,10,...
Catégorie de revenu familial,140 000 $ et plus,2013,hhincg1_8 / vd1dhrs,0.167604,20.49928,0.100101,0.235107,84,Percentage of donations,Percentage of total donations,NL,10,*
Catégorie de revenu personnel,20 000 $ à 39 999 $,2013,incg1_2 / vd1dhrs,0.239047,16.97537,0.15932,0.318774,116,Percentage of donations,Percentage of total donations,NL,10,*
Catégorie de revenu familial,20 000 $ à 39 999 $,2013,hhincg1_2 / vd1dhrs,0.073823,30.79175,0.029162,0.118484,63,Percentage of donations,Percentage of total donations,NL,10,*
Catégorie de revenu personnel,40 000 $ à 59 999 $,2013,incg1_3 / vd1dhrs,0.128957,21.26173,0.075087,0.182827,76,Percentage of donations,Percentage of total donations,NL,10,*
Catégorie de revenu familial,40 000 $ à 59 999 $,2013,hhincg1_3 / vd1dhrs,0.289824,23.75157,0.154576,0.425072,59,Percentage of donations,Percentage of total donations,NL,10,*
Catégorie de revenu personnel,60 000 $ à 79 999 $,2013,incg1_4 / vd1dhrs,0.142097,28.88052,0.061468,0.222726,41,Percentage of donations,Percentage of total donations,NL,10,*
Catégorie de revenu familial,60 000 $ à 79 999 $,2013,hhincg1_4 / vd1dhrs,0.123067,23.36297,0.066577,0.179557,62,Percentage of donations,Percentage of total donations,NL,10,*
Catégorie de revenu personnel,80 000 $ à 99 999 $,2013,incg1_5 / vd1dhrs,0.018571,37.74635,0.004799,0.032344,25,Percentage of donations,Percentage of total donations,NL,10,...
Catégorie de revenu familial,80 000 $ à 99 999 $,2013,hhincg1_5 / vd1dhrs,0.126412,30.07464,0.051717,0.201108,57,Percentage of donations,Percentage of total donations,NL,10,*
Groupe d'âge,15 à 24 ans,2013,agegr10_1 / vd1dhrs,0.12309,27.37967,0.056876,0.189305,38,Percentage of donations,Percentage of total donations,NL,10,*
Groupe d'âge,25 à 34 ans,2013,agegr10_2 / vd1dhrs,0.058625,25.33413,0.029445,0.087806,51,Percentage of donations,Percentage of total donations,NL,10,*
Groupe d'âge,35 à 44 ans,2013,agegr10_3 / vd1dhrs,0.102147,21.45914,0.05908,0.145214,70,Percentage of donations,Percentage of total donations,NL,10,*
Groupe d'âge,45 à 54 ans,2013,agegr10_4 / vd1dhrs,0.266463,24.16377,0.139959,0.392967,87,Percentage of donations,Percentage of total donations,NL,10,*
Groupe d'âge,55 à 64 ans,2013,agegr10_5 / vd1dhrs,0.220142,21.67994,0.126372,0.313913,90,Percentage of donations,Percentage of total donations,NL,10,*
Groupe d'âge,65 à 74 ans,2013,agegr10_6 / vd1dhrs,0.159834,22.50339,0.089167,0.230502,69,Percentage of donations,Percentage of total donations,NL,10,*
