Group,Attribute,Year,QuestionNo,Estimate,cv,CI Lower,CI Upper,Unweightedn,QuestionText,QuestionGroup,Region,Marker
Arts & culture,Do not support cause,2013,nv_020,0.417649687,2.028294268,0.401006141,0.434293234,4011,Gave enough time already,Barriers to volunteering by cause support,CA,
Arts & culture,Support cause,2013,nv_020,0.512521041,6.352943081,0.448549118,0.576492964,3372,Gave enough time already,Barriers to volunteering by cause support,CA,
Arts & culture,Do not support cause,2013,nv_020,0.384971861,3.759813319,0.356533929,0.413409792,1055,Gave enough time already,Barriers to volunteering by cause support,AT,
Arts & culture,Support cause,2013,nv_020,0.556090267,10.40236077,0.442437517,0.669743017,841,Gave enough time already,Barriers to volunteering by cause support,AT,
Arts & culture,Do not support cause,2013,nv_020,0.530761051,3.467824194,0.494598516,0.566923585,541,Gave enough time already,Barriers to volunteering by cause support,QC,
Arts & culture,Support cause,2013,nv_020,0.661394105,10.48626611,0.525129226,0.797658985,678,Gave enough time already,Barriers to volunteering by cause support,QC,
Arts & culture,Do not support cause,2013,nv_020,0.39618728,3.551522105,0.368542203,0.423832356,935,Gave enough time already,Barriers to volunteering by cause support,ON,
Arts & culture,Support cause,2013,nv_020,0.522430626,11.58240579,0.403544782,0.64131647,734,Gave enough time already,Barriers to volunteering by cause support,ON,
Arts & culture,Do not support cause,2013,nv_020,0.408816751,4.802277797,0.37024417,0.447389332,623,Gave enough time already,Barriers to volunteering by cause support,PR,
Arts & culture,Support cause,2013,nv_020,0.416379718,15.76342445,0.287423325,0.545336112,467,Gave enough time already,Barriers to volunteering by cause support,PR,
Arts & culture,Do not support cause,2013,nv_020,0.354079483,7.004081485,0.305354164,0.402804803,320,Gave enough time already,Barriers to volunteering by cause support,AB,
Arts & culture,Support cause,2013,nv_020,0.378061849,22.23179225,0.212926491,0.543197207,203,Gave enough time already,Barriers to volunteering by cause support,AB,*
Arts & culture,Do not support cause,2013,nv_020,0.417307846,4.964953633,0.376600341,0.458015351,537,Gave enough time already,Barriers to volunteering by cause support,BC,
Arts & culture,Support cause,2013,nv_020,0.509411571,15.91463774,0.350128983,0.668694159,449,Gave enough time already,Barriers to volunteering by cause support,BC,
Sports & Recreation,Do not support cause,2013,nv_020,0.403401572,2.395950764,0.384411867,0.422391277,4011,Gave enough time already,Barriers to volunteering by cause support,CA,
Sports & Recreation,Support cause,2013,nv_020,0.491125095,3.248477599,0.459779628,0.522470562,3372,Gave enough time already,Barriers to volunteering by cause support,CA,
Sports & Recreation,Do not support cause,2013,nv_020,0.381893406,4.124657466,0.350945392,0.41284142,1055,Gave enough time already,Barriers to volunteering by cause support,AT,
Sports & Recreation,Support cause,2013,nv_020,0.430100651,6.680653312,0.373647033,0.486554268,841,Gave enough time already,Barriers to volunteering by cause support,AT,
Sports & Recreation,Do not support cause,2013,nv_020,0.498584013,4.114600742,0.458278097,0.538889928,541,Gave enough time already,Barriers to volunteering by cause support,QC,
